FERNHILL|1
HALLORAN|4
AUSTINMER|9
NORTH WOLLONGONG|7
FAIRY MEADOW|18
WARNERVALE|2
ABERNETHY|1
WYONG|4
WOLLONGONG|20
TOWRADGI|1
BULLI|11
WEST WOLLONGONG|5
KEIRAVILLE|17
WOONONA|15
WYEE|9
KIAR|4
THIRROUL|17
TUGGERAH|5
JILLIBY|16
ALISON 2259|2
BUSHELLS RIDGE|2
CORRIMAL|18
GWYNNEVILLE|17
RUSSELL VALE|5
CESSNOCK|6
