2500273|The Keg Liquorstop William St KEIRAVILLE|KEIRAVILLE|-34.414963|150.87306|9|0|9
225921|Wyong Station - Stand A WYONG|WYONG|-33.28529|151.42517|0|0|1
2500272|William St near Akuna St KEIRAVILLE|KEIRAVILLE|-34.416977|150.87265|0|0|9
2500271|Rose St near Bell St KEIRAVILLE|KEIRAVILLE|-34.41739|150.87076|3|0|9
2500159|Foley St near Gipps St GWYNNEVILLE|GWYNNEVILLE|-34.41596|150.88521|0|0|9
251532|Lawrence Hargrave Dr near Kennedy Rd AUSTINMER|AUSTINMER|-34.309174|150.93279|3|0|38
2500158|Gwynneville Shops Gipps Rd near Vickery St GWYNNEVILLE|GWYNNEVILLE|-34.416103|150.88321|1|0|9
251533|Lawrence Hargrave Dr near Mountain Rd AUSTINMER|AUSTINMER|-34.310917|150.93193|1|0|38
2259969|Sparks Rd after Hue Hue Rd JILLIBY|JILLIBY|-33.22559|151.41753|0|0|1
2259606|Albert Warner Dr (After Aldenham Rd) WARNERVALE|WARNERVALE|-33.246|151.44763|0|0|1
2325311|Vincent St opp Rover Depot, CESSNOCK|CESSNOCK|-32.840767|151.35526|0|0|1
251538|Lawrence Hargrave Dr at Station St THIRROUL|THIRROUL|-34.3165|150.9206|0|0|38
251659|Princes Hwy after Point St BULLI|BULLI|-34.329525|150.91374|1|5|41
2259605|Sparks Rd near Albert Warner Dr HALLORAN|HALLORAN|-33.241673|151.44476|0|0|1
251539|Lawrence Hargrave Dr opposite Lachlan St THIRROUL|THIRROUL|-34.318405|150.9168|9|1|38
2259603|Westfield Tuggerah Stand A - Northbound Services TUGGERAH|TUGGERAH|-33.309216|151.41257|1|0|1
251534|Lawrence Hargrave Dr near Henley Rd THIRROUL|THIRROUL|-34.312546|150.9286|4|0|38
251535|Lawrence Hargrave Dr at The Esplanade THIRROUL|THIRROUL|-34.3141|150.9265|4|0|38
251536|Thirroul Fire Station Lawrence Hargrave Dr THIRROUL|THIRROUL|-34.314667|150.92522|2|0|38
251537|Thirroul Plaza Lawrence Hargrave Dr THIRROUL|THIRROUL|-34.31523|150.92288|23|6|38
2259971|Sparks Rd opp Burnet Rd HALLORAN|HALLORAN|-33.23085|151.42621|0|0|1
225914|Pacific Hwy after Mildon Rd TUGGERAH|TUGGERAH|-33.301373|151.42105|0|0|1
225913|Pacific Hwy opp Tuggerah Station TUGGERAH|TUGGERAH|-33.30746|151.41971|0|0|1
251541|Moore St opp Austinmer Station AUSTINMER|AUSTINMER|-34.30688|150.92941|0|4|41
251542|Austinmer Station Moore St AUSTINMER|AUSTINMER|-34.306797|150.9299|11|0|38
251543|Lawrence Hargrave Dr near High St THIRROUL|THIRROUL|-34.319878|150.91512|3|1|38
251544|Lawrence Hargrave Dr near Hewitts Av THIRROUL|THIRROUL|-34.32189|150.91374|2|2|38
251660|Lawrence Hargrave Drive after George Av BULLI|BULLI|-34.324413|150.91245|0|3|41
2518102|Woolworths Petrol Plus Princes Hwy CORRIMAL|CORRIMAL|-34.375626|150.89638|4|16|41
2259972|Hue Hue Rd at Woods Rd KIAR|KIAR|-33.197292|151.4371|0|0|1
2259383|Taskers Hue Rd ALISON 2259|ALISON 2259|-33.270687|151.40482|0|0|1
2259382|Porters Creek Alison Rd WYONG|WYONG|-33.277798|151.41412|0|0|1
225941|Wyee Rd opp Wyee Station WYEE|WYEE|-33.179993|151.48746|0|0|1
225946|Wyong HS Alison Rd WYONG|WYONG|-33.28126|151.41975|0|1|1
225945|Margaret St opp Wyong Post Office WYONG|WYONG|-33.28373|151.42221|0|0|1
