1|1-2|Inbound|58|10|AUSTINMER|WOLLONGONG|THIRROUL - BULLI - WOONONA - RUSSELL VALE - CORRIMAL - TOWRADGI - FAIRY MEADOW - NORTH WOLLONGONG - 
10|10-1|Inbound|26|5|WEST WOLLONGONG|WOLLONGONG|KEIRAVILLE - GWYNNEVILLE - NORTH WOLLONGONG - 
162|162-9|Outbound|7|2|CESSNOCK|ABERNETHY|
10|10-5|Inbound|30|5|KEIRAVILLE|WOLLONGONG|WEST WOLLONGONG - GWYNNEVILLE - NORTH WOLLONGONG - 
10|10-8|Inbound|98|14|TUGGERAH|WEST WOLLONGONG|WYONG - ALISON 2259 - JILLIBY - KIAR - WYEE - BUSHELLS RIDGE - HALLORAN - WARNERVALE - WOLLONGONG - GWYNNEVILLE - NORTH WOLLONGONG - KEIRAVILLE - 
1|1-8|Outbound|47|8|FAIRY MEADOW|AUSTINMER|FERNHILL - CORRIMAL - RUSSELL VALE - WOONONA - BULLI - THIRROUL - 
1|1-7|Inbound|48|8|AUSTINMER|FAIRY MEADOW|THIRROUL - BULLI - WOONONA - RUSSELL VALE - CORRIMAL - TOWRADGI - 
1|1-6|Inbound|42|8|BULLI|WOLLONGONG|WOONONA - RUSSELL VALE - CORRIMAL - TOWRADGI - FAIRY MEADOW - NORTH WOLLONGONG - 
1|1-5|Outbound|57|10|WOLLONGONG|AUSTINMER|NORTH WOLLONGONG - FAIRY MEADOW - FERNHILL - CORRIMAL - RUSSELL VALE - WOONONA - BULLI - THIRROUL - 
